Country Code,Country Name,Survey Year,Indicator,Characteristic Category,Characteristic Label,Value,gender
AM,Armenia,2000,if she goes out without telling him,Wealth quintile,Fourth,18.3,Men
AM,Armenia,2000,if she goes out without telling him,Wealth quintile,Highest,12.9,Men
AM,Armenia,2000,if she goes out without telling him,Marital status,Married or living together,25.1,Men
AM,Armenia,2000,if she goes out without telling him,Marital status,Never married,23.2,Men
AM,Armenia,2000,if she neglects the children,Education,Secondary,30.9,Men
AM,Armenia,2000,if she neglects the children,Education,Higher,17.1,Men
AM,Armenia,2000,if she neglects the children,Wealth quintile,Lowest,42.6,Men
AM,Armenia,2000,if she neglects the children,Wealth quintile,Second,41.9,Men
AM,Armenia,2000,if she neglects the children,Wealth quintile,Middle,20.3,Men
AM,Armenia,2000,if she neglects the children,Wealth quintile,Fourth,24.8,Men
AM,Armenia,2000,if she neglects the children,Wealth quintile,Highest,13.5,Men
AM,Armenia,2000,if she neglects the children,Marital status,Married or living together,27.9,Men
AM,Armenia,2000,if she neglects the children,Marital status,Never married,28.5,Men
AM,Armenia,2000,if she refuses to have sex with him,Education,Secondary,9.7,Men
AM,Armenia,2000,if she refuses to have sex with him,Education,Higher,5.3,Men
AM,Armenia,2000,if she refuses to have sex with him,Wealth quintile,Lowest,14.4,Men
AM,Armenia,2000,if she refuses to have sex with him,Wealth quintile,Second,13.8,Men
AM,Armenia,2000,if she refuses to have sex with him,Wealth quintile,Middle,6.9,Men
AM,Armenia,2000,if she refuses to have sex with him,Wealth quintile,Fourth,7.1,Men
AM,Armenia,2000,if she refuses to have sex with him,Wealth quintile,Highest,3.1,Men
AM,Armenia,2000,if she refuses to have sex with him,Marital status,Married or living together,7.7,Men
AM,Armenia,2000,if she refuses to have sex with him,Marital status,Never married,11.2,Men
AM,Armenia,2000,for at least one specific reason,Education,Secondary,45.2,Men
AM,Armenia,2000,for at least one specific reason,Education,Higher,31.6,Men
AM,Armenia,2000,for at least one specific reason,Wealth quintile,Lowest,56.5,Men
AM,Armenia,2000,for at least one specific reason,Wealth quintile,Second,58.3,Men
AM,Armenia,2000,for at least one specific reason,Wealth quintile,Middle,35.8,Men
AM,Armenia,2000,for at least one specific reason,Wealth quintile,Fourth,37.3,Men
AM,Armenia,2000,for at least one specific reason,Wealth quintile,Highest,26.6,Men
AM,Armenia,2000,for at least one specific reason,Marital status,Married or living together,41,Men
AM,Armenia,2000,for at least one specific reason,Marital status,Never married,44.4,Men
AM,Armenia,2005,if she burns the food,Education,Secondary,2.5,Women
AM,Armenia,2005,if she burns the food,Education,Higher,0.8,Women
AM,Armenia,2005,if she burns the food,Wealth quintile,Lowest,4.8,Women
AM,Armenia,2005,if she burns the food,Wealth quintile,Second,2.8,Women
AM,Armenia,2005,if she burns the food,Wealth quintile,Middle,1.2,Women
AM,Armenia,2005,if she burns the food,Wealth quintile,Fourth,1.6,Women
AM,Armenia,2005,if she burns the food,Wealth quintile,Highest,0.5,Women
AM,Armenia,2005,if she burns the food,Marital status,Married or living together,2.5,Women
AM,Armenia,2005,if she burns the food,Marital status,"Widowed, divorced, separated",1.2,Women
AM,Armenia,2005,if she burns the food,Marital status,Never married,1.4,Women
AM,Armenia,2005,if she argues with him,Education,Secondary,18,Women
AM,Armenia,2005,if she argues with him,Education,Higher,4.6,Women
AM,Armenia,2005,if she argues with him,Wealth quintile,Lowest,29.2,Women
AM,Armenia,2005,if she argues with him,Wealth quintile,Second,19.1,Women
AM,Armenia,2005,if she argues with him,Wealth quintile,Middle,11.6,Women
AM,Armenia,2005,if she argues with him,Wealth quintile,Fourth,10.9,Women
AM,Armenia,2005,if she argues with him,Wealth quintile,Highest,5.7,Women
AM,Armenia,2005,if she argues with him,Marital status,Married or living together,16.5,Women
AM,Armenia,2005,if she argues with him,Marital status,"Widowed, divorced, separated",12.7,Women
AM,Armenia,2005,if she argues with him,Marital status,Never married,11.8,Women
AM,Armenia,2005,if she goes out without telling him,Education,Secondary,12.6,Women
AM,Armenia,2005,if she goes out without telling him,Education,Higher,3,Women
AM,Armenia,2005,if she goes out without telling him,Wealth quintile,Lowest,21.6,Women
AM,Armenia,2005,if she goes out without telling him,Wealth quintile,Second,15.7,Women
AM,Armenia,2005,if she goes out without telling him,Wealth quintile,Middle,8.4,Women
AM,Armenia,2005,if she goes out without telling him,Wealth quintile,Fourth,5.5,Women
AM,Armenia,2005,if she goes out without telling him,Wealth quintile,Highest,2.8,Women
AM,Armenia,2005,if she goes out without telling him,Marital status,Married or living together,12.1,Women
AM,Armenia,2005,if she goes out without telling him,Marital status,"Widowed, divorced, separated",7.3,Women
AM,Armenia,2005,if she goes out without telling him,Marital status,Never married,7.5,Women
AM,Armenia,2005,if she neglects the children,Education,Secondary,20.8,Women
AM,Armenia,2005,if she neglects the children,Education,Higher,6.5,Women
AM,Armenia,2005,if she neglects the children,Wealth quintile,Lowest,32.8,Women
AM,Armenia,2005,if she neglects the children,Wealth quintile,Second,23.4,Women
AM,Armenia,2005,if she neglects the children,Wealth quintile,Middle,15,Women
AM,Armenia,2005,if she neglects the children,Wealth quintile,Fourth,11.7,Women
AM,Armenia,2005,if she neglects the children,Wealth quintile,Highest,7.1,Women
AM,Armenia,2005,if she neglects the children,Marital status,Married or living together,19.4,Women
AM,Armenia,2005,if she neglects the children,Marital status,"Widowed, divorced, separated",14.2,Women
AM,Armenia,2005,if she neglects the children,Marital status,Never married,14.2,Women
AM,Armenia,2005,if she refuses to have sex with him,Education,Secondary,4.6,Women
AM,Armenia,2005,if she refuses to have sex with him,Education,Higher,1.1,Women
AM,Armenia,2005,if she refuses to have sex with him,Wealth quintile,Lowest,7.7,Women
AM,Armenia,2005,if she refuses to have sex with him,Wealth quintile,Second,4.5,Women
AM,Armenia,2005,if she refuses to have sex with him,Wealth quintile,Middle,3.7,Women
AM,Armenia,2005,if she refuses to have sex with him,Wealth quintile,Fourth,2.3,Women
AM,Armenia,2005,if she refuses to have sex with him,Wealth quintile,Highest,1.1,Women
AM,Armenia,2005,if she refuses to have sex with him,Marital status,Married or living together,4.1,Women
AM,Armenia,2005,if she refuses to have sex with him,Marital status,"Widowed, divorced, separated",6.2,Women
AM,Armenia,2005,if she refuses to have sex with him,Marital status,Never married,2.4,Women
AM,Armenia,2005,for at least one specific reason,Education,Secondary,26.4,Women
AM,Armenia,2005,for at least one specific reason,Education,Higher,8.8,Women
AM,Armenia,2005,for at least one specific reason,Wealth quintile,Lowest,41.1,Women
AM,Armenia,2005,for at least one specific reason,Wealth quintile,Second,28.8,Women
AM,Armenia,2005,for at least one specific reason,Wealth quintile,Middle,18.7,Women
AM,Armenia,2005,for at least one specific reason,Wealth quintile,Fourth,16,Women
AM,Armenia,2005,for at least one specific reason,Wealth quintile,Highest,9.7,Women
AM,Armenia,2005,for at least one specific reason,Marital status,Married or living together,24.7,Women
AM,Armenia,2005,for at least one specific reason,Marital status,"Widowed, divorced, separated",19.5,Women
AM,Armenia,2005,for at least one specific reason,Marital status,Never married,17.9,Women
AM,Armenia,2005,if she burns the food,Education,Secondary,1.2,Men
AM,Armenia,2005,if she burns the food,Education,Higher,0.5,Men
AM,Armenia,2005,if she burns the food,Wealth quintile,Lowest,3.2,Men
AM,Armenia,2005,if she burns the food,Wealth quintile,Second,1.2,Men
AM,Armenia,2005,if she burns the food,Wealth quintile,Middle,0.7,Men
AM,Armenia,2005,if she burns the food,Wealth quintile,Fourth,0.2,Men
AM,Armenia,2005,if she burns the food,Wealth quintile,Highest,0.3,Men
AM,Armenia,2005,if she burns the food,Marital status,Married or living together,1,Men
AM,Armenia,2005,if she burns the food,Marital status,Never married,1.1,Men
AM,Armenia,2005,if she argues with him,Education,Secondary,24.2,Men
AM,Armenia,2005,if she argues with him,Education,Higher,12.6,Men
AM,Armenia,2005,if she argues with him,Wealth quintile,Lowest,34.7,Men
AM,Armenia,2005,if she argues with him,Wealth quintile,Second,22.5,Men
AM,Armenia,2005,if she argues with him,Wealth quintile,Middle,20.6,Men
AM,Armenia,2005,if she argues with him,Wealth quintile,Fourth,19.8,Men
AM,Armenia,2005,if she argues with him,Wealth quintile,Highest,11.9,Men
AM,Armenia,2005,if she argues with him,Marital status,Married or living together,18.4,Men
AM,Armenia,2005,if she argues with him,Marital status,Never married,26.1,Men
AM,Armenia,2005,if she goes out without telling him,Education,Secondary,15.7,Men
AM,Armenia,2005,if she goes out without telling him,Education,Higher,8.3,Men
AM,Armenia,2005,if she goes out without telling him,Wealth quintile,Lowest,26.6,Men
AM,Armenia,2005,if she goes out without telling him,Wealth quintile,Second,17,Men
AM,Armenia,2005,if she goes out without telling him,Wealth quintile,Middle,13.7,Men
AM,Armenia,2005,if she goes out without telling him,Wealth quintile,Fourth,10.8,Men
AM,Armenia,2005,if she goes out without telling him,Wealth quintile,Highest,4.5,Men
AM,Armenia,2005,if she goes out without telling him,Marital status,Married or living together,13.7,Men
AM,Armenia,2005,if she goes out without telling him,Marital status,Never married,14.7,Men
AM,Armenia,2005,if she neglects the children,Education,Secondary,26.3,Men
AM,Armenia,2005,if she neglects the children,Education,Higher,13.2,Men
AM,Armenia,2005,if she neglects the children,Wealth quintile,Lowest,32.6,Men
AM,Armenia,2005,if she neglects the children,Wealth quintile,Second,22.8,Men
AM,Armenia,2005,if she neglects the children,Wealth quintile,Middle,23.5,Men
AM,Armenia,2005,if she neglects the children,Wealth quintile,Fourth,25.3,Men
AM,Armenia,2005,if she neglects the children,Wealth quintile,Highest,11.5,Men
AM,Armenia,2005,if she neglects the children,Marital status,Married or living together,21.4,Men
AM,Armenia,2005,if she neglects the children,Marital status,Never married,25.2,Men
AM,Armenia,2005,if she refuses to have sex with him,Education,Secondary,5.9,Men
AM,Armenia,2005,if she refuses to have sex with him,Education,Higher,3.3,Men
AM,Armenia,2005,if she refuses to have sex with him,Wealth quintile,Lowest,8.8,Men
AM,Armenia,2005,if she refuses to have sex with him,Wealth quintile,Second,6,Men
AM,Armenia,2005,if she refuses to have sex with him,Wealth quintile,Middle,3.7,Men
AM,Armenia,2005,if she refuses to have sex with him,Wealth quintile,Fourth,4.2,Men
AM,Armenia,2005,if she refuses to have sex with him,Wealth quintile,Highest,4.2,Men
AM,Armenia,2005,if she refuses to have sex with him,Marital status,Married or living together,3.4,Men
AM,Armenia,2005,if she refuses to have sex with him,Marital status,Never married,7.6,Men
AM,Armenia,2005,for at least one specific reason,Education,Secondary,33.6,Men
AM,Armenia,2005,for at least one specific reason,Education,Higher,20.1,Men
AM,Armenia,2005,for at least one specific reason,Wealth quintile,Lowest,42.3,Men
AM,Armenia,2005,for at least one specific reason,Wealth quintile,Second,31,Men
AM,Armenia,2005,for at least one specific reason,Wealth quintile,Middle,31.4,Men
AM,Armenia,2005,for at least one specific reason,Wealth quintile,Fourth,32.4,Men
AM,Armenia,2005,for at least one specific reason,Wealth quintile,Highest,15.8,Men
AM,Armenia,2005,for at least one specific reason,Marital status,Married or living together,26.9,Men
AM,Armenia,2005,for at least one specific reason,Marital status,Never married,35.3,Men
AM,Armenia,2010,if she burns the food,Education,Primary,0.6,Women
AM,Armenia,2010,if she burns the food,Education,Secondary,0.3,Women
AM,Armenia,2010,if she burns the food,Education,Higher,0.3,Women
AM,Armenia,2010,if she burns the food,Wealth quintile,Lowest,0.4,Women
AM,Armenia,2010,if she burns the food,Wealth quintile,Second,0.6,Women
AM,Armenia,2010,if she burns the food,Wealth quintile,Middle,0.3,Women
AM,Armenia,2010,if she burns the food,Wealth quintile,Fourth,0.2,Women
AM,Armenia,2010,if she burns the food,Wealth quintile,Highest,0.2,Women
AM,Armenia,2010,if she burns the food,Marital status,Married or living together,0.2,Women
AM,Armenia,2010,if she burns the food,Marital status,"Widowed, divorced, separated",0.4,Women
AM,Armenia,2010,if she burns the food,Marital status,Never married,0.5,Women
AM,Armenia,2010,if she argues with him,Education,Primary,13.4,Women
AM,Armenia,2010,if she argues with him,Education,Secondary,7.2,Women
AM,Armenia,2010,if she argues with him,Education,Higher,3.9,Women
AM,Armenia,2010,if she argues with him,Wealth quintile,Lowest,9,Women
AM,Armenia,2010,if she argues with him,Wealth quintile,Second,6,Women
AM,Armenia,2010,if she argues with him,Wealth quintile,Middle,5.3,Women
AM,Armenia,2010,if she argues with him,Wealth quintile,Fourth,4.2,Women
AM,Armenia,2010,if she argues with him,Wealth quintile,Highest,3.8,Women
AM,Armenia,2010,if she argues with him,Marital status,Married or living together,6.8,Women
AM,Armenia,2010,if she argues with him,Marital status,"Widowed, divorced, separated",3,Women
AM,Armenia,2010,if she argues with him,Marital status,Never married,4,Women
AM,Armenia,2010,if she goes out without telling him,Education,Primary,7.2,Women
AM,Armenia,2010,if she goes out without telling him,Education,Secondary,4.3,Women
AM,Armenia,2010,if she goes out without telling him,Education,Higher,1.9,Women
AM,Armenia,2010,if she goes out without telling him,Wealth quintile,Lowest,5.7,Women
AM,Armenia,2010,if she goes out without telling him,Wealth quintile,Second,3.7,Women
AM,Armenia,2010,if she goes out without telling him,Wealth quintile,Middle,2.6,Women
AM,Armenia,2010,if she goes out without telling him,Wealth quintile,Fourth,2,Women
AM,Armenia,2010,if she goes out without telling him,Wealth quintile,Highest,1.6,Women
AM,Armenia,2010,if she goes out without telling him,Marital status,Married or living together,4,Women
AM,Armenia,2010,if she goes out without telling him,Marital status,"Widowed, divorced, separated",2.4,Women
AM,Armenia,2010,if she goes out without telling him,Marital status,Never married,1.6,Women
AM,Armenia,2010,if she neglects the children,Education,Primary,11.5,Women
AM,Armenia,2010,if she neglects the children,Education,Secondary,9.4,Women
AM,Armenia,2010,if she neglects the children,Education,Higher,5,Women
AM,Armenia,2010,if she neglects the children,Wealth quintile,Lowest,10.4,Women
AM,Armenia,2010,if she neglects the children,Wealth quintile,Second,8.3,Women
AM,Armenia,2010,if she neglects the children,Wealth quintile,Middle,6.7,Women
AM,Armenia,2010,if she neglects the children,Wealth quintile,Fourth,5.4,Women
AM,Armenia,2010,if she neglects the children,Wealth quintile,Highest,4.4,Women
AM,Armenia,2010,if she neglects the children,Marital status,Married or living together,8,Women
AM,Armenia,2010,if she neglects the children,Marital status,"Widowed, divorced, separated",4.5,Women
AM,Armenia,2010,if she neglects the children,Marital status,Never married,5.5,Women
AM,Armenia,2010,if she refuses to have sex with him,Education,Primary,3.2,Women
AM,Armenia,2010,if she refuses to have sex with him,Education,Secondary,1.7,Women
AM,Armenia,2010,if she refuses to have sex with him,Education,Higher,0.7,Women
AM,Armenia,2010,if she refuses to have sex with him,Wealth quintile,Lowest,2.1,Women
AM,Armenia,2010,if she refuses to have sex with him,Wealth quintile,Second,1.4,Women
AM,Armenia,2010,if she refuses to have sex with him,Wealth quintile,Middle,1.2,Women
AM,Armenia,2010,if she refuses to have sex with him,Wealth quintile,Fourth,0.6,Women
AM,Armenia,2010,if she refuses to have sex with him,Wealth quintile,Highest,0.7,Women
AM,Armenia,2010,if she refuses to have sex with him,Marital status,Married or living together,1.5,Women
AM,Armenia,2010,if she refuses to have sex with him,Marital status,"Widowed, divorced, separated",2.4,Women
AM,Armenia,2010,if she refuses to have sex with him,Marital status,Never married,0.4,Women
AM,Armenia,2010,for at least one specific reason,Education,Primary,17.9,Women
AM,Armenia,2010,for at least one specific reason,Education,Secondary,12.1,Women
AM,Armenia,2010,for at least one specific reason,Education,Higher,6.6,Women
AM,Armenia,2010,for at least one specific reason,Wealth quintile,Lowest,13.9,Women
AM,Armenia,2010,for at least one specific reason,Wealth quintile,Second,10.9,Women
AM,Armenia,2010,for at least one specific reason,Wealth quintile,Middle,9.3,Women
AM,Armenia,2010,for at least one specific reason,Wealth quintile,Fourth,6.9,Women
AM,Armenia,2010,for at least one specific reason,Wealth quintile,Highest,5.7,Women
AM,Armenia,2010,for at least one specific reason,Marital status,Married or living together,10.7,Women
AM,Armenia,2010,for at least one specific reason,Marital status,"Widowed, divorced, separated",7.5,Women
AM,Armenia,2010,for at least one specific reason,Marital status,Never married,7,Women
AM,Armenia,2010,if she burns the food,Education,Primary,0.2,Men
AM,Armenia,2010,if she burns the food,Education,Secondary,0.5,Men
AM,Armenia,2010,if she burns the food,Education,Higher,0.7,Men
AM,Armenia,2010,if she burns the food,Wealth quintile,Lowest,0.9,Men
AM,Armenia,2010,if she burns the food,Wealth quintile,Second,0.4,Men
AM,Armenia,2010,if she burns the food,Wealth quintile,Middle,0.1,Men
AM,Armenia,2010,if she burns the food,Wealth quintile,Fourth,0.7,Men
AM,Armenia,2010,if she burns the food,Wealth quintile,Highest,0.6,Men
AM,Armenia,2010,if she burns the food,Marital status,Married or living together,0.4,Men
AM,Armenia,2010,if she burns the food,Marital status,"Widowed, divorced, separated",10.8,Men
AM,Armenia,2010,if she burns the food,Marital status,Never married,0.5,Men
AM,Armenia,2010,if she argues with him,Education,Primary,19.6,Men
AM,Armenia,2010,if she argues with him,Education,Secondary,22.9,Men
AM,Armenia,2010,if she argues with him,Education,Higher,11,Men
AM,Armenia,2010,if she argues with him,Wealth quintile,Lowest,26.4,Men
AM,Armenia,2010,if she argues with him,Wealth quintile,Second,18.7,Men
AM,Armenia,2010,if she argues with him,Wealth quintile,Middle,19.2,Men
AM,Armenia,2010,if she argues with him,Wealth quintile,Fourth,12.4,Men
AM,Armenia,2010,if she argues with him,Wealth quintile,Highest,6.9,Men
AM,Armenia,2010,if she argues with him,Marital status,Married or living together,12.6,Men
AM,Armenia,2010,if she argues with him,Marital status,"Widowed, divorced, separated",61.3,Men
AM,Armenia,2010,if she argues with him,Marital status,Never married,20.2,Men
AM,Armenia,2010,if she goes out without telling him,Education,Primary,10.1,Men
AM,Armenia,2010,if she goes out without telling him,Education,Secondary,11.2,Men
AM,Armenia,2010,if she goes out without telling him,Education,Higher,4.7,Men
AM,Armenia,2010,if she goes out without telling him,Wealth quintile,Lowest,15.9,Men
AM,Armenia,2010,if she goes out without telling him,Wealth quintile,Second,6.7,Men
AM,Armenia,2010,if she goes out without telling him,Wealth quintile,Middle,7.8,Men
AM,Armenia,2010,if she goes out without telling him,Wealth quintile,Fourth,5.7,Men
AM,Armenia,2010,if she goes out without telling him,Wealth quintile,Highest,2.9,Men
AM,Armenia,2010,if she goes out without telling him,Marital status,Married or living together,5.5,Men
AM,Armenia,2010,if she goes out without telling him,Marital status,"Widowed, divorced, separated",38.5,Men
AM,Armenia,2010,if she goes out without telling him,Marital status,Never married,9.7,Men
AM,Armenia,2010,if she neglects the children,Education,Primary,19.5,Men
AM,Armenia,2010,if she neglects the children,Education,Secondary,17.2,Men
AM,Armenia,2010,if she neglects the children,Education,Higher,8.3,Men
AM,Armenia,2010,if she neglects the children,Wealth quintile,Lowest,20.6,Men
AM,Armenia,2010,if she neglects the children,Wealth quintile,Second,14.8,Men
AM,Armenia,2010,if she neglects the children,Wealth quintile,Middle,16.6,Men
AM,Armenia,2010,if she neglects the children,Wealth quintile,Fourth,8.7,Men
AM,Armenia,2010,if she neglects the children,Wealth quintile,Highest,5.2,Men
AM,Armenia,2010,if she neglects the children,Marital status,Married or living together,10.1,Men
AM,Armenia,2010,if she neglects the children,Marital status,"Widowed, divorced, separated",45.8,Men
AM,Armenia,2010,if she neglects the children,Marital status,Never married,15.7,Men
AM,Armenia,2010,if she refuses to have sex with him,Education,Primary,3.4,Men
AM,Armenia,2010,if she refuses to have sex with him,Education,Secondary,2.5,Men
AM,Armenia,2010,if she refuses to have sex with him,Education,Higher,2.8,Men
AM,Armenia,2010,if she refuses to have sex with him,Wealth quintile,Lowest,3.3,Men
AM,Armenia,2010,if she refuses to have sex with him,Wealth quintile,Second,2.8,Men
AM,Armenia,2010,if she refuses to have sex with him,Wealth quintile,Middle,3.7,Men
AM,Armenia,2010,if she refuses to have sex with him,Wealth quintile,Fourth,3.6,Men
AM,Armenia,2010,if she refuses to have sex with him,Wealth quintile,Highest,0.5,Men
AM,Armenia,2010,if she refuses to have sex with him,Marital status,Married or living together,1.8,Men
AM,Armenia,2010,if she refuses to have sex with him,Marital status,"Widowed, divorced, separated",18.3,Men
AM,Armenia,2010,if she refuses to have sex with him,Marital status,Never married,3.5,Men
AM,Armenia,2010,for at least one specific reason,Education,Primary,24.5,Men
AM,Armenia,2010,for at least one specific reason,Education,Secondary,26.4,Men
AM,Armenia,2010,for at least one specific reason,Education,Higher,13.7,Men
AM,Armenia,2010,for at least one specific reason,Wealth quintile,Lowest,31.8,Men
AM,Armenia,2010,for at least one specific reason,Wealth quintile,Second,20.9,Men
AM,Armenia,2010,for at least one specific reason,Wealth quintile,Middle,22.4,Men
AM,Armenia,2010,for at least one specific reason,Wealth quintile,Fourth,14.8,Men
AM,Armenia,2010,for at least one specific reason,Wealth quintile,Highest,9.7,Men
AM,Armenia,2010,for at least one specific reason,Marital status,Married or living together,15.4,Men
AM,Armenia,2010,for at least one specific reason,Marital status,"Widowed, divorced, separated",63.3,Men
AM,Armenia,2010,for at least one specific reason,Marital status,Never married,24.1,Men
AM,Armenia,2016,if she burns the food,Education,Primary,0.1,Women
AM,Armenia,2016,if she burns the food,Education,Secondary,0.9,Women
AM,Armenia,2016,if she burns the food,Education,Higher,0,Women
AM,Armenia,2016,if she burns the food,Wealth quintile,Lowest,0.9,Women
AM,Armenia,2016,if she burns the food,Wealth quintile,Second,0.5,Women
AM,Armenia,2016,if she burns the food,Wealth quintile,Middle,0.4,Women
AM,Armenia,2016,if she burns the food,Wealth quintile,Fourth,0,Women
AM,Armenia,2016,if she burns the food,Wealth quintile,Highest,0.1,Women
AM,Armenia,2016,if she burns the food,Marital status,Married or living together,0.4,Women
