Country Code,Country Name,Indicator,Characteristic Category,Characteristic Label,gender,first,last,diff,delta
ZW,Zimbabwe,if she refuses to have sex with him,Wealth quintile,Second,Women,27.5,18.6,-8.899999999999999,negative
ZW,Zimbabwe,if she refuses to have sex with him,Wealth quintile,Middle,Women,24.7,15.6,-9.1,negative
ZW,Zimbabwe,if she refuses to have sex with him,Wealth quintile,Fourth,Women,19.8,12.1,-7.700000000000001,negative
ZW,Zimbabwe,if she refuses to have sex with him,Wealth quintile,Highest,Women,12,7.9,-4.1,negative
ZW,Zimbabwe,if she refuses to have sex with him,Marital status,Married or living together,Women,25.9,15.8,-10.099999999999998,negative
ZW,Zimbabwe,if she refuses to have sex with him,Marital status,"Widowed, divorced, separated",Women,24.6,13.9,-10.700000000000001,negative
ZW,Zimbabwe,if she refuses to have sex with him,Marital status,Never married,Women,13.6,11.6,-2,negative
ZW,Zimbabwe,for at least one specific reason,Education,No education,Women,57.6,55.2,-2.3999999999999986,negative
ZW,Zimbabwe,for at least one specific reason,Education,Primary,Women,56.7,48.9,-7.800000000000004,negative
ZW,Zimbabwe,for at least one specific reason,Education,Secondary,Women,47.4,37.6,-9.799999999999997,negative
ZW,Zimbabwe,for at least one specific reason,Education,Higher,Women,16.1,10,-6.100000000000001,negative
ZW,Zimbabwe,for at least one specific reason,Wealth quintile,Lowest,Women,62.8,50.6,-12.199999999999996,negative
ZW,Zimbabwe,for at least one specific reason,Wealth quintile,Second,Women,60.1,46.9,-13.200000000000003,negative
ZW,Zimbabwe,for at least one specific reason,Wealth quintile,Middle,Women,55.7,41.4,-14.300000000000004,negative
ZW,Zimbabwe,for at least one specific reason,Wealth quintile,Fourth,Women,47.1,35.2,-11.899999999999999,negative
ZW,Zimbabwe,for at least one specific reason,Wealth quintile,Highest,Women,36.4,26.3,-10.099999999999998,negative
ZW,Zimbabwe,for at least one specific reason,Marital status,Married or living together,Women,52.1,37.4,-14.700000000000003,negative
ZW,Zimbabwe,for at least one specific reason,Marital status,"Widowed, divorced, separated",Women,47.8,33.2,-14.599999999999994,negative
ZW,Zimbabwe,for at least one specific reason,Marital status,Never married,Women,49.7,44.6,-5.100000000000001,negative
AM,Armenia,if she burns the food,Education,Secondary,Women,5.7,0.9,-4.8,negative
AM,Armenia,if she burns the food,Education,Higher,Women,1.3,0,-1.3,negative
AM,Armenia,if she burns the food,Wealth quintile,Lowest,Women,12.2,0.9,-11.299999999999999,negative
AM,Armenia,if she burns the food,Wealth quintile,Second,Women,6.2,0.5,-5.7,negative
AM,Armenia,if she burns the food,Wealth quintile,Middle,Women,3.6,0.4,-3.2,negative
AM,Armenia,if she burns the food,Wealth quintile,Fourth,Women,2.4,0,-2.4,negative
AM,Armenia,if she burns the food,Wealth quintile,Highest,Women,2,0.1,-1.9,negative
AM,Armenia,if she burns the food,Marital status,Married or living together,Women,5,0.4,-4.6,negative
AM,Armenia,if she burns the food,Marital status,"Widowed, divorced, separated",Women,4.9,0.3,-4.6000000000000005,negative
AM,Armenia,if she burns the food,Marital status,Never married,Women,4.8,0.3,-4.5,negative
AM,Armenia,if she argues with him,Education,Secondary,Women,16.6,9.2,-7.400000000000002,negative
AM,Armenia,if she argues with him,Education,Higher,Women,4,3.9,-0.10000000000000009,negative
AM,Armenia,if she argues with him,Wealth quintile,Lowest,Women,27.1,9.4,-17.700000000000003,negative
AM,Armenia,if she argues with him,Wealth quintile,Second,Women,18.4,8.2,-10.2,negative
AM,Armenia,if she argues with him,Wealth quintile,Middle,Women,13.5,8.4,-5.1,negative
AM,Armenia,if she argues with him,Wealth quintile,Fourth,Women,9.6,3.4,-6.199999999999999,negative
AM,Armenia,if she argues with him,Wealth quintile,Highest,Women,6.4,2.2,-4.2,negative
AM,Armenia,if she argues with him,Marital status,Married or living together,Women,15.8,7.1,-8.700000000000001,negative
AM,Armenia,if she argues with him,Marital status,"Widowed, divorced, separated",Women,11.4,3.2,-8.2,negative
AM,Armenia,if she argues with him,Marital status,Never married,Women,11.6,4.7,-6.8999999999999995,negative
AM,Armenia,if she goes out without telling him,Education,Secondary,Women,23.3,8.7,-14.600000000000001,negative
AM,Armenia,if she goes out without telling him,Education,Higher,Women,5,2.7,-2.3,negative
AM,Armenia,if she goes out without telling him,Wealth quintile,Lowest,Women,41.2,7.5,-33.7,negative
AM,Armenia,if she goes out without telling him,Wealth quintile,Second,Women,27.1,8,-19.1,negative
AM,Armenia,if she goes out without telling him,Wealth quintile,Middle,Women,16.2,7.9,-8.299999999999999,negative
AM,Armenia,if she goes out without telling him,Wealth quintile,Fourth,Women,13.2,2.6,-10.6,negative
AM,Armenia,if she goes out without telling him,Wealth quintile,Highest,Women,7.7,1.2,-6.5,negative
AM,Armenia,if she goes out without telling him,Marital status,Married or living together,Women,22.1,5.7,-16.400000000000002,negative
AM,Armenia,if she goes out without telling him,Marital status,"Widowed, divorced, separated",Women,15.7,2.5,-13.2,negative
AM,Armenia,if she goes out without telling him,Marital status,Never married,Women,16.1,5,-11.100000000000001,negative
AM,Armenia,if she neglects the children,Education,Secondary,Women,31.2,12.6,-18.6,negative
AM,Armenia,if she neglects the children,Education,Higher,Women,9.3,5.5,-3.8000000000000007,negative
AM,Armenia,if she neglects the children,Wealth quintile,Lowest,Women,48.5,11.4,-37.1,negative
AM,Armenia,if she neglects the children,Wealth quintile,Second,Women,36.6,12.7,-23.900000000000002,negative
AM,Armenia,if she neglects the children,Wealth quintile,Middle,Women,24,10.5,-13.5,negative
AM,Armenia,if she neglects the children,Wealth quintile,Fourth,Women,19.5,6.1,-13.4,negative
AM,Armenia,if she neglects the children,Wealth quintile,Highest,Women,13,3.5,-9.5,negative
AM,Armenia,if she neglects the children,Marital status,Married or living together,Women,29.5,9.9,-19.6,negative
AM,Armenia,if she neglects the children,Marital status,"Widowed, divorced, separated",Women,22.6,3.8,-18.8,negative
AM,Armenia,if she neglects the children,Marital status,Never married,Women,22.9,6.8,-16.099999999999998,negative
AM,Armenia,if she refuses to have sex with him,Education,Secondary,Women,7.5,1.2,-6.3,negative
AM,Armenia,if she refuses to have sex with him,Education,Higher,Women,2.2,0.3,-1.9000000000000001,negative
AM,Armenia,if she refuses to have sex with him,Wealth quintile,Lowest,Women,14.2,1.5,-12.7,negative
AM,Armenia,if she refuses to have sex with him,Wealth quintile,Second,Women,7.6,0.9,-6.699999999999999,negative
AM,Armenia,if she refuses to have sex with him,Wealth quintile,Middle,Women,5.8,0.7,-5.1,negative
AM,Armenia,if she refuses to have sex with him,Wealth quintile,Fourth,Women,4.2,0.2,-4,negative
AM,Armenia,if she refuses to have sex with him,Wealth quintile,Highest,Women,2.9,0.6,-2.3,negative
AM,Armenia,if she refuses to have sex with him,Marital status,Married or living together,Women,7.6,0.9,-6.699999999999999,negative
AM,Armenia,if she refuses to have sex with him,Marital status,"Widowed, divorced, separated",Women,6.9,0.8,-6.1000000000000005,negative
AM,Armenia,if she refuses to have sex with him,Marital status,Never married,Women,4.1,0.5,-3.5999999999999996,negative
AM,Armenia,for at least one specific reason,Education,Secondary,Women,37.2,14.4,-22.800000000000004,negative
AM,Armenia,for at least one specific reason,Education,Higher,Women,11.3,6.6,-4.700000000000001,negative
AM,Armenia,for at least one specific reason,Wealth quintile,Lowest,Women,56.8,14.3,-42.5,negative
AM,Armenia,for at least one specific reason,Wealth quintile,Second,Women,43.4,14.5,-28.9,negative
AM,Armenia,for at least one specific reason,Wealth quintile,Middle,Women,29.6,11.9,-17.700000000000003,negative
AM,Armenia,for at least one specific reason,Wealth quintile,Fourth,Women,23.7,6.9,-16.799999999999997,negative
AM,Armenia,for at least one specific reason,Wealth quintile,Highest,Women,15.2,4.2,-11,negative
AM,Armenia,for at least one specific reason,Marital status,Married or living together,Women,35,11.4,-23.6,negative
AM,Armenia,for at least one specific reason,Marital status,"Widowed, divorced, separated",Women,26.8,5.3,-21.5,negative
AM,Armenia,for at least one specific reason,Marital status,Never married,Women,27.7,8.4,-19.299999999999997,negative
AM,Armenia,if she burns the food,Education,Secondary,Men,6.7,0.6,-6.1000000000000005,negative
AM,Armenia,if she burns the food,Education,Higher,Men,2.8,0.6,-2.1999999999999997,negative
AM,Armenia,if she burns the food,Wealth quintile,Lowest,Men,10.5,0.5,-10,negative
AM,Armenia,if she burns the food,Wealth quintile,Second,Men,9.9,1.2,-8.700000000000001,negative
AM,Armenia,if she burns the food,Wealth quintile,Middle,Men,4.9,0.4,-4.5,negative
AM,Armenia,if she burns the food,Wealth quintile,Fourth,Men,3.6,1,-2.6,negative
AM,Armenia,if she burns the food,Wealth quintile,Highest,Men,1.5,0.2,-1.3,negative
AM,Armenia,if she burns the food,Marital status,Married or living together,Men,5.3,0.4,-4.8999999999999995,negative
AM,Armenia,if she burns the food,Marital status,Never married,Men,6.8,1,-5.8,negative
AM,Armenia,if she argues with him,Education,Secondary,Men,28.9,20.2,-8.7,negative
AM,Armenia,if she argues with him,Education,Higher,Men,21.5,9.9,-11.6,negative
AM,Armenia,if she argues with him,Wealth quintile,Lowest,Men,40.7,22.6,-18.1,negative
AM,Armenia,if she argues with him,Wealth quintile,Second,Men,34,23.2,-10.8,negative
AM,Armenia,if she argues with him,Wealth quintile,Middle,Men,24.2,19.5,-4.699999999999999,negative
AM,Armenia,if she argues with him,Wealth quintile,Fourth,Men,24.7,10.2,-14.5,negative
AM,Armenia,if she argues with him,Wealth quintile,Highest,Men,16.1,5.5,-10.600000000000001,negative
AM,Armenia,if she argues with him,Marital status,Married or living together,Men,25.9,15.8,-10.099999999999998,negative
AM,Armenia,if she argues with him,Marital status,Never married,Men,30.3,16,-14.3,negative
AM,Armenia,if she goes out without telling him,Education,Secondary,Men,27.2,16.3,-10.899999999999999,negative
AM,Armenia,if she goes out without telling him,Education,Higher,Men,15.2,6.1,-9.1,negative
AM,Armenia,if she goes out without telling him,Wealth quintile,Lowest,Men,36.9,16.3,-20.599999999999998,negative
AM,Armenia,if she goes out without telling him,Wealth quintile,Second,Men,39,15,-24,negative
AM,Armenia,if she goes out without telling him,Wealth quintile,Middle,Men,18.6,17.5,-1.1000000000000014,negative
AM,Armenia,if she goes out without telling him,Wealth quintile,Fourth,Men,18.3,5.9,-12.4,negative
AM,Armenia,if she goes out without telling him,Wealth quintile,Highest,Men,12.9,4.4,-8.5,negative
AM,Armenia,if she goes out without telling him,Marital status,Married or living together,Men,25.1,10.3,-14.8,negative
AM,Armenia,if she goes out without telling him,Marital status,Never married,Men,23.2,12.9,-10.299999999999999,negative
AM,Armenia,if she neglects the children,Education,Secondary,Men,30.9,22.8,-8.099999999999998,negative
AM,Armenia,if she neglects the children,Education,Higher,Men,17.1,10.9,-6.200000000000001,negative
AM,Armenia,if she neglects the children,Wealth quintile,Lowest,Men,42.6,19.1,-23.5,negative
AM,Armenia,if she neglects the children,Wealth quintile,Second,Men,41.9,23.1,-18.799999999999997,negative
AM,Armenia,if she neglects the children,Wealth quintile,Middle,Men,20.3,24.7,4.399999999999999,positive
AM,Armenia,if she neglects the children,Wealth quintile,Fourth,Men,24.8,11.9,-12.9,negative
AM,Armenia,if she neglects the children,Wealth quintile,Highest,Men,13.5,7.6,-5.9,negative
AM,Armenia,if she neglects the children,Marital status,Married or living together,Men,27.9,16.5,-11.399999999999999,negative
AM,Armenia,if she neglects the children,Marital status,Never married,Men,28.5,17.2,-11.3,negative
AM,Armenia,if she refuses to have sex with him,Education,Secondary,Men,9.7,2.2,-7.499999999999999,negative
AM,Armenia,if she refuses to have sex with him,Education,Higher,Men,5.3,0.8,-4.5,negative
AM,Armenia,if she refuses to have sex with him,Wealth quintile,Lowest,Men,14.4,2.3,-12.100000000000001,negative
AM,Armenia,if she refuses to have sex with him,Wealth quintile,Second,Men,13.8,1.8,-12,negative
AM,Armenia,if she refuses to have sex with him,Wealth quintile,Middle,Men,6.9,2.8,-4.1000000000000005,negative
AM,Armenia,if she refuses to have sex with him,Wealth quintile,Fourth,Men,7.1,0.9,-6.199999999999999,negative
AM,Armenia,if she refuses to have sex with him,Wealth quintile,Highest,Men,3.1,0.4,-2.7,negative
AM,Armenia,if she refuses to have sex with him,Marital status,Married or living together,Men,7.7,1.5,-6.2,negative
AM,Armenia,if she refuses to have sex with him,Marital status,Never married,Men,11.2,1.4,-9.799999999999999,negative
AM,Armenia,for at least one specific reason,Education,Secondary,Men,45.2,27.9,-17.300000000000004,negative
AM,Armenia,for at least one specific reason,Education,Higher,Men,31.6,14.4,-17.200000000000003,negative
AM,Armenia,for at least one specific reason,Wealth quintile,Lowest,Men,56.5,29.2,-27.3,negative
AM,Armenia,for at least one specific reason,Wealth quintile,Second,Men,58.3,30.6,-27.699999999999996,negative
AM,Armenia,for at least one specific reason,Wealth quintile,Middle,Men,35.8,28.8,-6.9999999999999964,negative
AM,Armenia,for at least one specific reason,Wealth quintile,Fourth,Men,37.3,15.6,-21.699999999999996,negative
AM,Armenia,for at least one specific reason,Wealth quintile,Highest,Men,26.6,9.3,-17.3,negative
AM,Armenia,for at least one specific reason,Marital status,Married or living together,Men,41,21.3,-19.7,negative
AM,Armenia,for at least one specific reason,Marital status,Never married,Men,44.4,23.2,-21.2,negative
ET,Ethiopia,if she burns the food,Education,No education,Women,69.5,49.3,-20.200000000000003,negative
ET,Ethiopia,if she burns the food,Education,Primary,Women,61.6,39.4,-22.200000000000003,negative
ET,Ethiopia,if she burns the food,Education,Secondary,Women,28.9,17.7,-11.2,negative
ET,Ethiopia,if she burns the food,Education,Higher,Women,4.8,6.4,1.6000000000000005,positive
ET,Ethiopia,if she burns the food,Wealth quintile,Lowest,Women,67.9,50.3,-17.60000000000001,negative
ET,Ethiopia,if she burns the food,Wealth quintile,Second,Women,72.1,50.5,-21.599999999999994,negative
ET,Ethiopia,if she burns the food,Wealth quintile,Middle,Women,72.9,46.9,-26.000000000000007,negative
ET,Ethiopia,if she burns the food,Wealth quintile,Fourth,Women,68.3,41.4,-26.9,negative
ET,Ethiopia,if she burns the food,Wealth quintile,Highest,Women,46,19.5,-26.5,negative
ET,Ethiopia,if she burns the food,Marital status,Married or living together,Women,67.9,43.8,-24.10000000000001,negative
ET,Ethiopia,if she burns the food,Marital status,"Widowed, divorced, separated",Women,59.5,37.1,-22.4,negative
ET,Ethiopia,if she burns the food,Marital status,Never married,Women,57.7,30.5,-27.200000000000003,negative
ET,Ethiopia,if she argues with him,Education,No education,Women,65.6,50.9,-14.699999999999996,negative
ET,Ethiopia,if she argues with him,Education,Primary,Women,59.6,42.3,-17.300000000000004,negative
ET,Ethiopia,if she argues with him,Education,Secondary,Women,29.5,21.4,-8.100000000000001,negative
ET,Ethiopia,if she argues with him,Education,Higher,Women,9,9.6,0.5999999999999996,positive
ET,Ethiopia,if she argues with him,Wealth quintile,Lowest,Women,65.9,52.5,-13.400000000000006,negative
ET,Ethiopia,if she argues with him,Wealth quintile,Second,Women,68.5,53.4,-15.100000000000001,negative
ET,Ethiopia,if she argues with him,Wealth quintile,Middle,Women,67.5,48,-19.5,negative
ET,Ethiopia,if she argues with him,Wealth quintile,Fourth,Women,65.1,41.6,-23.499999999999993,negative
ET,Ethiopia,if she argues with him,Wealth quintile,Highest,Women,44.2,24.3,-19.900000000000002,negative
ET,Ethiopia,if she argues with him,Marital status,Married or living together,Women,64.7,46.4,-18.300000000000004,negative
ET,Ethiopia,if she argues with him,Marital status,"Widowed, divorced, separated",Women,59.2,39.7,-19.5,negative
ET,Ethiopia,if she argues with him,Marital status,Never married,Women,53.5,32.3,-21.200000000000003,negative
ET,Ethiopia,if she goes out without telling him,Education,No education,Women,60.4,52.2,-8.199999999999996,negative
ET,Ethiopia,if she goes out without telling him,Education,Primary,Women,53,42.3,-10.700000000000003,negative
ET,Ethiopia,if she goes out without telling him,Education,Secondary,Women,28.2,25.2,-3,negative
ET,Ethiopia,if she goes out without telling him,Education,Higher,Women,8,11.7,3.6999999999999993,positive
ET,Ethiopia,if she goes out without telling him,Wealth quintile,Lowest,Women,61,51.2,-9.799999999999997,negative
ET,Ethiopia,if she goes out without telling him,Wealth quintile,Second,Women,61.4,54.6,-6.799999999999997,negative
ET,Ethiopia,if she goes out without telling him,Wealth quintile,Middle,Women,59.9,48.9,-11,negative
ET,Ethiopia,if she goes out without telling him,Wealth quintile,Fourth,Women,59.5,42.8,-16.700000000000003,negative
ET,Ethiopia,if she goes out without telling him,Wealth quintile,Highest,Women,42.7,27.1,-15.600000000000001,negative
ET,Ethiopia,if she goes out without telling him,Marital status,Married or living together,Women,59.4,47.5,-11.899999999999999,negative
ET,Ethiopia,if she goes out without telling him,Marital status,"Widowed, divorced, separated",Women,52.5,38.7,-13.799999999999997,negative
ET,Ethiopia,if she goes out without telling him,Marital status,Never married,Women,49.4,34.4,-15,negative
ET,Ethiopia,if she neglects the children,Education,No education,Women,67,54.5,-12.5,negative
ET,Ethiopia,if she neglects the children,Education,Primary,Women,65.8,47.7,-18.099999999999994,negative
ET,Ethiopia,if she neglects the children,Education,Secondary,Women,43.7,31.2,-12.500000000000004,negative
ET,Ethiopia,if she neglects the children,Education,Higher,Women,13.7,19.6,5.900000000000002,positive
ET,Ethiopia,if she neglects the children,Wealth quintile,Lowest,Women,66.4,53.5,-12.900000000000006,negative
ET,Ethiopia,if she neglects the children,Wealth quintile,Second,Women,68.4,57.9,-10.500000000000007,negative
ET,Ethiopia,if she neglects the children,Wealth quintile,Middle,Women,68.7,53.6,-15.100000000000001,negative
ET,Ethiopia,if she neglects the children,Wealth quintile,Fourth,Women,67.7,47.8,-19.900000000000006,negative
ET,Ethiopia,if she neglects the children,Wealth quintile,Highest,Women,54.1,31.9,-22.200000000000003,negative
ET,Ethiopia,if she neglects the children,Marital status,Married or living together,Women,66.4,50.8,-15.600000000000009,negative
ET,Ethiopia,if she neglects the children,Marital status,"Widowed, divorced, separated",Women,63.1,45.4,-17.700000000000003,negative
ET,Ethiopia,if she neglects the children,Marital status,Never married,Women,60.3,39.8,-20.5,negative
ET,Ethiopia,if she refuses to have sex with him,Education,No education,Women,56.2,44,-12.200000000000003,negative
ET,Ethiopia,if she refuses to have sex with him,Education,Primary,Women,44.8,32.9,-11.899999999999999,negative
ET,Ethiopia,if she refuses to have sex with him,Education,Secondary,Women,17.9,16.1,-1.7999999999999972,negative
ET,Ethiopia,if she refuses to have sex with him,Education,Higher,Women,4.8,5.6,0.7999999999999998,positive
ET,Ethiopia,if she refuses to have sex with him,Wealth quintile,Lowest,Women,55,45.2,-9.799999999999997,negative
ET,Ethiopia,if she refuses to have sex with him,Wealth quintile,Second,Women,56.7,44.8,-11.900000000000006,negative
ET,Ethiopia,if she refuses to have sex with him,Wealth quintile,Middle,Women,57.5,41.4,-16.1,negative
ET,Ethiopia,if she refuses to have sex with him,Wealth quintile,Fourth,Women,56.2,32.9,-23.300000000000004,negative
ET,Ethiopia,if she refuses to have sex with him,Wealth quintile,Highest,Women,33.5,17.9,-15.600000000000001,negative
ET,Ethiopia,if she refuses to have sex with him,Marital status,Married or living together,Women,55.9,39.4,-16.5,negative
ET,Ethiopia,if she refuses to have sex with him,Marital status,"Widowed, divorced, separated",Women,48.5,32.7,-15.799999999999997,negative
ET,Ethiopia,if she refuses to have sex with him,Marital status,Never married,Women,38.7,23.6,-15.100000000000001,negative
ET,Ethiopia,for at least one specific reason,Education,No education,Women,88.1,71.9,-16.19999999999999,negative
ET,Ethiopia,for at least one specific reason,Education,Primary,Women,83,63.7,-19.299999999999997,negative
ET,Ethiopia,for at least one specific reason,Education,Secondary,Women,59.6,41.9,-17.700000000000003,negative
ET,Ethiopia,for at least one specific reason,Education,Higher,Women,17.1,26.1,9,positive
ET,Ethiopia,for at least one specific reason,Wealth quintile,Lowest,Women,86.5,70.9,-15.599999999999994,negative
ET,Ethiopia,for at least one specific reason,Wealth quintile,Second,Women,89.4,75.7,-13.700000000000003,negative
ET,Ethiopia,for at least one specific reason,Wealth quintile,Middle,Women,89.8,70,-19.799999999999997,negative
ET,Ethiopia,for at least one specific reason,Wealth quintile,Fourth,Women,88,64.7,-23.299999999999997,negative
ET,Ethiopia,for at least one specific reason,Wealth quintile,Highest,Women,72.1,43.2,-28.89999999999999,negative
ET,Ethiopia,for at least one specific reason,Marital status,Married or living together,Women,87.3,66.6,-20.700000000000003,negative
ET,Ethiopia,for at least one specific reason,Marital status,"Widowed, divorced, separated",Women,83,63.6,-19.4,negative
ET,Ethiopia,for at least one specific reason,Marital status,Never married,Women,77.9,53.7,-24.200000000000003,negative
ET,Ethiopia,if she burns the food,Education,No education,Men,48.1,16.7,-31.400000000000002,negative
ET,Ethiopia,if she burns the food,Education,Primary,Men,56.9,12.3,-44.599999999999994,negative
ET,Ethiopia,if she burns the food,Education,Secondary,Men,14.6,5.3,-9.3,negative
ET,Ethiopia,if she burns the food,Education,Higher,Men,0,3.2,3.2,positive
ET,Ethiopia,if she burns the food,Wealth quintile,Lowest,Men,52.3,15.3,-37,negative
ET,Ethiopia,if she burns the food,Wealth quintile,Second,Men,52,15.1,-36.9,negative
ET,Ethiopia,if she burns the food,Wealth quintile,Middle,Men,52.9,13,-39.9,negative
ET,Ethiopia,if she burns the food,Wealth quintile,Fourth,Men,48.4,13.3,-35.099999999999994,negative
ET,Ethiopia,if she burns the food,Wealth quintile,Highest,Men,24.4,4.4,-20,negative
ET,Ethiopia,if she burns the food,Marital status,Married or living together,Men,39.5,11.5,-28,negative
ET,Ethiopia,if she burns the food,Marital status,"Widowed, divorced, separated",Men,48.6,19.8,-28.8,negative
ET,Ethiopia,if she burns the food,Marital status,Never married,Men,51.8,11.4,-40.4,negative
ET,Ethiopia,if she argues with him,Education,No education,Men,53.8,21.5,-32.3,negative
ET,Ethiopia,if she argues with him,Education,Primary,Men,55.1,17.4,-37.7,negative
ET,Ethiopia,if she argues with him,Education,Secondary,Men,18.4,7.9,-10.499999999999998,negative
ET,Ethiopia,if she argues with him,Education,Higher,Men,3.5,5.5,2,positive
ET,Ethiopia,if she argues with him,Wealth quintile,Lowest,Men,54.4,19.4,-35,negative
ET,Ethiopia,if she argues with him,Wealth quintile,Second,Men,55.6,20,-35.6,negative
ET,Ethiopia,if she argues with him,Wealth quintile,Middle,Men,54.7,18.9,-35.800000000000004,negative
